Source,Target,Type,Id,Label,Weight,capacity,distance
8,62,Directed,565,,1,-0.495055,4.527969
8,9,Directed,512,,1,-0.896093,4.049939
8,10,Directed,513,,1,-0.896093,4.049939
8,12,Directed,515,,1,-0.896093,4.049939
8,40,Directed,543,,1,-1.368367,3.50735
8,42,Directed,545,,1,-1.368367,3.50735
8,44,Directed,547,,1,-1.368367,3.50735
8,46,Directed,549,,1,-1.368367,3.50735
8,0,Directed,504,,1,-3.466065,2.863739
8,2,Directed,506,,1,-3.466065,2.863739
8,4,Directed,508,,1,-3.466065,2.863739
8,6,Directed,510,,1,-3.466065,2.863739
8,16,Directed,519,,1,-3.466065,2.863739
8,18,Directed,521,,1,-3.466065,2.863739
8,24,Directed,527,,1,-3.466065,2.863739
8,28,Directed,531,,1,-3.466065,2.863739
8,32,Directed,535,,1,-7.551904,2.02497
8,48,Directed,551,,1,-7.551904,2.02497
8,56,Directed,559,,1,-7.551904,2.02497
8,58,Directed,561,,1,-7.551904,2.02497
8,52,Directed,555,,1,-7.551904,2.024969
9,14,Directed,580,,1,0.001109,7.0147
9,39,Directed,605,,1,-0.231339,6.074909
9,50,Directed,616,,1,-0.231339,6.074909
9,60,Directed,626,,1,-0.231339,6.074909
9,38,Directed,604,,1,-0.231339,6.074908
9,54,Directed,620,,1,-0.231339,6.074908
9,62,Directed,628,,1,-0.231339,6.074908
9,10,Directed,576,,1,-0.121643,5.727479
9,12,Directed,578,,1,-0.121643,5.727479
9,15,Directed,581,,1,-0.121643,5.727479
9,0,Directed,567,,1,-0.304961,4.960142
9,2,Directed,569,,1,-0.304961,4.960142
9,4,Directed,571,,1,-0.304961,4.960142
9,6,Directed,573,,1,-0.304961,4.960142
